active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,0.0,BEAM,Beam,,0.00000,8,0.00000,-1,0.00000,BNB,BNB,STANDARD,1e-08,0.1,0.00000,BNB,BNB,0.0,,BNB,BNB,,END_OF_DAY,BEAMBNB,0.00001,0.0,0.00000,0,-1,-1,-1,-1,2019-09-20T02:57:39.555994
True,0.0,0.0,BEAM,Beam,,0.00000,8,0.00000,-1,0.00000,BNB,BNB,STANDARD,1e-08,0.1,0.00000,BNB,BNB,0.0,,BNB,BNB,,END_OF_DAY,BEAMBNB,0.00001,0.0,0.00000,0,-1,-1,-1,-1,2019-09-20T03:02:59.559086
True,0.0,0.0,BEAM,Beam,,0.00000,8,0.00000,-1,0.00000,BNB,BNB,STANDARD,1e-08,0.1,0.00000,BNB,BNB,0.0,,BNB,BNB,,END_OF_DAY,BEAMBNB,0.00001,0.0,0.00000,0,-1,-1,-1,-1,2019-09-20T03:08:20.006063
True,0.0,0.0,BEAM,Beam,,0.00000,8,0.00000,-1,0.00000,BNB,BNB,STANDARD,1e-08,0.1,0.00000,BNB,BNB,0.0,,BNB,BNB,,END_OF_DAY,BEAMBNB,0.00001,0.0,0.00000,0,-1,-1,-1,-1,2019-09-20T03:13:40.559767
True,0.0,0.0,BEAM,Beam,,0.00000,8,0.00000,-1,0.00000,BNB,BNB,STANDARD,1e-08,0.1,0.00000,BNB,BNB,0.0,,BNB,BNB,,END_OF_DAY,BEAMBNB,0.00001,0.0,0.00000,0,-1,-1,-1,-1,2019-09-20T03:19:01.308307
True,0.0,0.0,BEAM,Beam,,0.00000,8,0.00000,-1,0.00000,BNB,BNB,STANDARD,1e-08,0.1,0.00000,BNB,BNB,0.0,,BNB,BNB,,END_OF_DAY,BEAMBNB,0.00001,0.0,0.00000,0,-1,-1,-1,-1,2019-09-20T03:24:21.473872
True,0.0,0.0,BEAM,Beam,,0.00000,8,0.00000,-1,0.00000,BNB,BNB,STANDARD,1e-08,0.1,0.00000,BNB,BNB,0.0,,BNB,BNB,,END_OF_DAY,BEAMBNB,0.00001,0.0,0.00000,0,-1,-1,-1,-1,2019-09-20T03:29:43.648587
True,0.0,0.0,BEAM,Beam,,0.00000,8,0.00000,-1,0.00000,BNB,BNB,STANDARD,1e-08,0.1,0.00000,BNB,BNB,0.0,,BNB,BNB,,END_OF_DAY,BEAMBNB,0.00001,0.0,0.00000,0,-1,-1,-1,-1,2019-09-20T03:35:04.281296
True,0.0,0.0,BEAM,Beam,,0.00000,8,0.00000,-1,0.00000,BNB,BNB,STANDARD,1e-08,0.1,0.00000,BNB,BNB,0.0,,BNB,BNB,,END_OF_DAY,BEAMBNB,0.00001,0.0,0.00000,0,-1,-1,-1,-1,2019-09-20T03:40:24.724123
True,0.0,0.0,BEAM,Beam,,0.00000,8,0.00000,-1,0.00000,BNB,BNB,STANDARD,1e-08,0.1,0.00000,BNB,BNB,0.0,,BNB,BNB,,END_OF_DAY,BEAMBNB,0.00001,0.0,0.00000,0,-1,-1,-1,-1,2019-09-20T03:45:45.232743
